week,tv_spend,facebook_spend,search_spend,other_spend,revenue,log_revenue
2005-01-02,2.5,1.43,3.14,1.38,-22.25,0.0
2005-01-09,4.8,1.33,1.39,1.08,24.39,3.19
2005-01-16,3.93,0.94,1.91,1.94,47.03,3.85
2005-01-23,3.39,2.02,2.92,0.67,58.77,4.07
2005-01-30,1.62,1.69,2.34,1.3,-54.05,0.0
2005-02-06,1.62,2.66,3.16,1.49,-48.44,0.0
2005-02-13,1.23,0.58,3.88,1.7,23.88,3.17
2005-02-20,4.46,2.11,1.17,0.99,-245.51,0.0
2005-02-27,3.4,2.41,3.07,1.47,-282.0,0.0
2005-03-06,3.83,2.4,1.54,0.82,106.19,4.67
2005-03-13,1.08,2.72,2.13,1.04,101.28,4.62
2005-03-20,4.88,2.32,0.91,1.82,265.48,5.58
2005-03-27,4.33,2.82,1.23,1.91,45.46,3.82
2005-04-03,1.85,1.33,1.82,1.52,-172.99,0.0
2005-04-10,1.73,1.76,1.89,0.94,-319.92,0.0
2005-04-17,1.73,0.54,3.68,1.69,-94.1,0.0
2005-04-24,2.22,0.52,3.17,0.34,157.78,5.06
2005-05-01,3.1,1.1,3.91,0.47,387.32,5.96
2005-05-08,2.73,0.75,2.72,1.42,89.54,4.49
2005-05-15,2.16,1.15,1.57,0.8,-184.01,0.0
2005-05-22,3.45,0.94,1.85,1.92,-99.78,0.0
2005-05-29,1.56,0.57,1.82,1.04,-117.86,0.0
2005-06-05,2.17,2.77,1.84,1.03,2.25,0.81
2005-06-12,2.47,0.52,2.95,1.45,301.72,5.71
2005-06-19,2.82,2.34,2.5,1.6,335.96,5.82
2005-06-26,4.14,0.88,2.03,1.11,45.28,3.81
2005-07-03,1.8,2.78,1.28,0.66,106.85,4.67
2005-07-10,3.06,2.73,0.87,1.61,-81.14,0.0
2005-07-17,3.37,2.13,1.5,0.84,-262.68,0.0
2005-07-24,1.19,2.18,1.14,0.6,413.47,6.02
2005-07-31,3.43,0.51,3.31,1.37,-374.33,0.0
2005-08-07,1.68,2.96,1.16,0.45,-298.5,0.0
2005-08-14,1.26,2.69,3.12,1.95,458.22,6.13
2005-08-21,4.8,2.74,2.03,1.38,111.93,4.72
2005-08-28,4.86,2.15,1.03,1.98,-135.1,0.0
2005-09-04,4.23,1.36,3.4,0.88,242.14,5.49
2005-09-11,2.22,2.73,2.65,1.95,254.75,5.54
